root@lamponubuntu2404-s-1vcpu-1gb-tor1-01:~# tcpdump -r 0001.pcap
reading from file 0001.pcap, link-type EN10MB (Ethernet), snapshot length 262144
06:46:05.719231 IP lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh > 209.141.185.34.59481: Flags [P.], seq 2211231906:2211231950, ack 2111439996, win 473, length 44
06:46:08.082421 IP lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh > 209.141.185.34.59481: Flags [P.], seq 2968:3004, ack 2845, win 473, length 36
06:46:08.114733 IP 209.141.185.34.59481 > lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh: Flags [P.], seq 2845:2881, ack 3004, win 6192, length 36
06:46:08.114905 IP lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh > 209.141.185.34.59481: Flags [P.], seq 3004:3040, ack 2881, win 473, length 36
06:46:08.144940 IP 209.141.185.34.59481 > lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh: Flags [P.], seq 2881:2917, ack 3040, win 6192, length 36
06:46:08.145119 IP lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh > 209.141.185.34.59481: Flags [P.], seq 3040:3076, ack 2917, win 473, length 36
06:46:08.172912 IP 209.141.185.34.59481 > lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh: Flags [P.], seq 2917:2953, ack 3076, win 6192, length 36
06:46:08.173117 IP lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh > 209.141.185.34.59481: Flags [P.], seq 3076:3112, ack 2953, win 473, length 36
06:46:08.205373 IP 209.141.185.34.59481 > lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh: Flags [P.], seq 2953:2989, ack 3112, win 6192, length 36
06:46:08.205530 IP lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh > 209.141.185.34.59481: Flags [P.], seq 3112:3148, ack 2989, win 473, length 36
06:46:08.235540 IP 209.141.185.34.59481 > lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh: Flags [P.], seq 2989:3025, ack 3148, win 6192, length 36
06:46:08.235708 IP lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh > 209.141.185.34.59481: Flags [P.], seq 3148:3184, ack 3025, win 473, length 36
06:46:08.265787 IP 209.141.185.34.59481 > lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh: Flags [P.], seq 3025:3061, ack 3184, win 6192, length 36
06:46:08.265962 IP lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh > 209.141.185.34.59481: Flags [P.], seq 3184:3220, ack 3061, win 473, length 36
06:46:08.298352 IP 209.141.185.34.59481 > lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh: Flags [P.], seq 3061:3097, ack 3220, win 6191, length 36
06:46:08.298498 IP lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh > 209.141.185.34.59481: Flags [P.], seq 3220:3256, ack 3097, win 473, length 36
06:46:08.328614 IP 209.141.185.34.59481 > lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh: Flags [P.], seq 3097:3133, ack 3256, win 6191, length 36
06:46:08.328795 IP lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh > 209.141.185.34.59481: Flags [P.], seq 3256:3292, ack 3133, win 473, length 36
06:46:08.358784 IP 209.141.185.34.59481 > lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh: Flags [P.], seq 3133:3169, ack 3292, win 6191, length 36
06:46:08.358963 IP lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh > 209.141.185.34.59481: Flags [P.], seq 3292:3328, ack 3169, win 473, length 36
06:46:08.421222 IP 209.141.185.34.59481 > lamponubuntu2404-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 3328, win 6191, length 0
06:46:10.353566 IP windows2019.img-s-2vcpu-2gb-90gb-intel-nyc3-01.44656 > lamponubuntu2404-s-1vcpu-1gb-tor1-01.17275: Flags [S], seq 2116321843, win 1024, length 0
